index,Beverage,Beverage_category,Calories,Total_Fat_g,Sugars_g,Protein_g,Caffeine_mg,Size,Milk_type,Beverage_prep
0,Brewed Coffee,Coffee,3,0.1,0,0.3,175,Short,No milk option,Short
1,Brewed Coffee,Coffee,4,0.1,0,0.5,260,Tall,No milk option,Tall
2,Brewed Coffee,Coffee,5,0.1,0,1.0,330,Grande,No milk option,Grande
3,Brewed Coffee,Coffee,5,0.1,0,1.0,410,Venti,No milk option,Venti
4,Caffè Latte,Classic Espresso Drinks,70,0.1,9,6.0,75,Short,Nonfat,Short Nonfat Milk
5,Caffè Latte,Classic Espresso Drinks,100,3.5,9,6.0,75,Short,2%,2% Milk
6,Caffè Latte,Classic Espresso Drinks,70,2.5,4,5.0,75,Short,Soymilk,Soymilk
7,Caffè Latte,Classic Espresso Drinks,100,0.2,14,10.0,75,Tall,Nonfat,Tall Nonfat Milk
8,Caffè Latte,Classic Espresso Drinks,150,6.0,14,10.0,75,Tall,2%,2% Milk
9,Caffè Latte,Classic Espresso Drinks,110,4.5,6,8.0,75,Tall,Soymilk,Soymilk
10,Caffè Latte,Classic Espresso Drinks,130,0.3,18,13.0,150,Grande,Nonfat,Grande Nonfat Milk
11,Caffè Latte,Classic Espresso Drinks,190,7.0,17,12.0,150,Grande,2%,2% Milk
12,Caffè Latte,Classic Espresso Drinks,150,5.0,8,10.0,150,Grande,Soymilk,Soymilk
13,Caffè Latte,Classic Espresso Drinks,170,0.4,23,16.0,150,Venti,Nonfat,Venti Nonfat Milk
14,Caffè Latte,Classic Espresso Drinks,240,9.0,22,16.0,150,Venti,2%,2% Milk
15,Caffè Latte,Classic Espresso Drinks,190,7.0,11,13.0,150,Venti,Soymilk,Soymilk
16,Caffè Mocha,Classic Espresso Drinks,110,1.5,17,7.0,85,Short,Nonfat,Short Nonfat Milk
17,Caffè Mocha,Classic Espresso Drinks,130,4.0,17,6.0,85,Short,2%,2% Milk
18,Caffè Mocha,Classic Espresso Drinks,110,3.5,13,6.0,85,Short,Soymilk,Soymilk
19,Caffè Mocha,Classic Espresso Drinks,170,2.0,27,10.0,95,Tall,Nonfat,Tall Nonfat Milk
20,Caffè Mocha,Classic Espresso Drinks,200,6.0,26,10.0,95,Tall,2%,2% Milk
21,Caffè Mocha,Classic Espresso Drinks,180,5.0,20,9.0,95,Tall,Soymilk,Soymilk
22,Caffè Mocha,Classic Espresso Drinks,220,2.5,34,13.0,175,Grande,Nonfat,Grande Nonfat Milk
23,Caffè Mocha,Classic Espresso Drinks,260,8.0,34,13.0,175,Grande,2%,2% Milk
24,Caffè Mocha,Classic Espresso Drinks,230,7.0,26,11.0,175,Grande,Soymilk,Soymilk
25,Caffè Mocha,Classic Espresso Drinks,280,3.0,44,17.0,180,Venti,Nonfat,Venti Nonfat Milk
26,Caffè Mocha,Classic Espresso Drinks,340,11.0,43,17.0,180,Venti,2%,2% Milk
27,Caffè Mocha,Classic Espresso Drinks,290,9.0,33,14.0,180,Venti,Soymilk,Soymilk
28,Flavored Latte,Classic Espresso Drinks,100,0.1,18,6.0,75,Short,Nonfat,Short Nonfat Milk
29,Flavored Latte,Classic Espresso Drinks,130,3.5,17,6.0,75,Short,2%,2% Milk
30,Flavored Latte,Classic Espresso Drinks,110,2.5,13,5.0,75,Short,Soymilk,Soymilk
31,Flavored Latte,Classic Espresso Drinks,150,0.2,27,9.0,75,Tall,Nonfat,Tall Nonfat Milk
32,Flavored Latte,Classic Espresso Drinks,200,5.0,27,9.0,75,Tall,2%,2% Milk
33,Flavored Latte,Classic Espresso Drinks,160,4.0,20,7.0,75,Tall,Soymilk,Soymilk
34,Flavored Latte,Classic Espresso Drinks,200,0.3,35,12.0,150,Grande,Nonfat,Grande Nonfat Milk
35,Flavored Latte,Classic Espresso Drinks,250,6.0,35,12.0,150,Grande,2%,2% Milk
36,Flavored Latte,Classic Espresso Drinks,210,5.0,26,9.0,150,Grande,Soymilk,Soymilk
37,Flavored Latte,Classic Espresso Drinks,250,0.3,45,15.0,150,Venti,Nonfat,Venti Nonfat Milk
38,Flavored Latte,Classic Espresso Drinks,320,9.0,44,15.0,150,Venti,2%,2% Milk
39,Flavored Latte,Classic Espresso Drinks,270,7.0,33,12.0,150,Venti,Soymilk,Soymilk
40,Caffè Americano,Classic Espresso Drinks,5,0.0,0,0.4,75,Short,No milk option,Short
41,Caffè Americano,Classic Espresso Drinks,10,0.0,0,1.0,150,Tall,No milk option,Tall
42,Caffè Americano,Classic Espresso Drinks,15,0.0,0,1.0,225,Grande,No milk option,Grande
43,Caffè Americano,Classic Espresso Drinks,25,0.0,0,1.0,300,Venti,No milk option,Venti
44,Cappuccino,Classic Espresso Drinks,50,0.1,7,5.0,75,Short,Nonfat,Short Nonfat Milk
45,Cappuccino,Classic Espresso Drinks,80,3.0,7,5.0,75,Short,2%,2% Milk
46,Cappuccino,Classic Espresso Drinks,50,1.5,3,3.0,75,Short,Soymilk,Soymilk
47,Cappuccino,Classic Espresso Drinks,60,0.1,8,6.0,75,Tall,Nonfat,Tall Nonfat Milk
48,Cappuccino,Classic Espresso Drinks,90,3.5,8,6.0,75,Tall,2%,2% Milk
49,Cappuccino,Classic Espresso Drinks,70,3.0,4,5.0,75,Tall,Soymilk,Soymilk
50,Cappuccino,Classic Espresso Drinks,80,0.2,10,8.0,150,Grande,Nonfat,Grande Nonfat Milk
51,Cappuccino,Classic Espresso Drinks,120,4.0,10,8.0,150,Grande,2%,2% Milk
52,Cappuccino,Classic Espresso Drinks,100,3.5,5,7.0,150,Grande,Soymilk,Soymilk
53,Cappuccino,Classic Espresso Drinks,110,0.2,14,10.0,150,Venti,Nonfat,Venti Nonfat Milk
54,Cappuccino,Classic Espresso Drinks,150,6.0,14,10.0,150,Venti,2%,2% Milk
55,Cappuccino,Classic Espresso Drinks,120,4.5,7,9.0,150,Venti,Soymilk,Soymilk
56,Espresso,Classic Espresso Drinks,5,0.0,0,0.4,75,Solo,No milk option,Solo
57,Espresso,Classic Espresso Drinks,10,0.0,0,1.0,150,Doppio,No milk option,Doppio
62,Caramel Macchiato,Signature Espresso Drinks,100,1.0,15,6.0,75,Short,Nonfat,Short Nonfat Milk
63,Caramel Macchiato,Signature Espresso Drinks,120,4.0,15,5.0,75,Short,2%,2% Milk
64,Caramel Macchiato,Signature Espresso Drinks,100,3.0,11,4.0,75,Short,Soymilk,Soymilk
65,Caramel Macchiato,Signature Espresso Drinks,140,1.0,24,8.0,75,Tall,Nonfat,Tall Nonfat Milk
66,Caramel Macchiato,Signature Espresso Drinks,180,5.0,23,8.0,75,Tall,2%,2% Milk
67,Caramel Macchiato,Signature Espresso Drinks,150,4.5,17,7.0,75,Tall,Soymilk,Soymilk
68,Caramel Macchiato,Signature Espresso Drinks,190,1.0,32,11.0,150,Grande,Nonfat,Grande Nonfat Milk
69,Caramel Macchiato,Signature Espresso Drinks,240,7.0,32,10.0,150,Grande,2%,2% Milk
70,Caramel Macchiato,Signature Espresso Drinks,200,5.0,24,9.0,150,Grande,Soymilk,Soymilk
71,Caramel Macchiato,Signature Espresso Drinks,240,1.0,41,13.0,150,Venti,Nonfat,Venti Nonfat Milk
72,Caramel Macchiato,Signature Espresso Drinks,300,8.0,40,13.0,150,Venti,2%,2% Milk
73,Caramel Macchiato,Signature Espresso Drinks,250,7.0,31,11.0,150,Venti,Soymilk,Soymilk
